Resource ID,Longitude,Latitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
id,lng,lat,street,city,state,zipcode,nameHist,nameCurr,extant,neighborhood,planningDistrict,inventories,constStart,constEnd,constDateType,architects,prIndYear,nrIndYear,nhlIndYear,prDist,photo,url
3259,40.01980699,-75.15255554,1605 Rowan St,Philadelphia,PA,19140-1809,1605 Rowan St,,Yes,Nicetown,North,,,,,,1967,,,,,http://www.preservephiladelphia.org/historic-resources/3259
3261,39.95080832,-75.19855269,3700-12 Spruce St,Philadelphia,PA,19104-4109,"Quadrangle Dormitories, University of PA",,Yes,University City,University/Southwest,,,1895,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3261
3262,39.96592013,-75.17358292,2136 Mount Vernon St,Philadelphia,PA,19130-3134,2136 Mount Vernon St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3262
3263,39.94792539,-75.1610115,1201 Locust St,Philadelphia,PA,19107-5409,1201 Locust St,,Yes,Washington Square West,Central,,,,,,1959,,,,,http://www.preservephiladelphia.org/historic-resources/3263
3264,39.96159844,-75.198552,3841 Hamilton St,Philadelphia,PA,19104-2315,3841 Hamilton St,,Yes,Mantua,University/Southwest,,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/3264
3265,39.96401696,-75.17138505,2011 Spring Garden St,Philadelphia,PA,19130-3804,2011 Spring Garden St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3265
3266,39.9472448,-75.17469733,2000-2 Delancey Pl,Philadelphia,PA,19103-6510,2000-2 Delancey Pl,,Yes,Rittenhouse,Central,,,1865,,,1972,1982,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/3266
3267,40.01962352,-75.15259478,1604 Rowan St,Philadelphia,PA,19140-1810,1604 Rowan St,,Yes,Nicetown,North,,,,,,1967,,,,,http://www.preservephiladelphia.org/historic-resources/3267
3268,39.93417777,-75.14626524,123 League St,Philadelphia,PA,19147-4224,123 League St,,Yes,Queen Village,South,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3268
3269,39.9371629,-75.14880387,304 Queen St,Philadelphia,PA,19147-3216,304 Queen St,,Yes,Queen Village,Central,,,,,,1969,,,,,http://www.preservephiladelphia.org/historic-resources/3269
3270,39.94973132,-75.14315562,120-22 Market St,Philadelphia,PA,19106-3015,120-22 Market St,,Yes,Old City,Central,,,,,,1976,,,Old City,,http://www.preservephiladelphia.org/historic-resources/3270
3271,39.94636212,-75.15834932,1011 Spruce St,Philadelphia,PA,19107-5748,1011 Spruce St,,Yes,Washington Square West,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3271
3272,39.96627046,-75.17358975,2139 Mount Vernon St,Philadelphia,PA,19130-3133,2139 Mount Vernon St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3272
3273,39.9442308,-75.15129083,526 Delancey St,Philadelphia,PA,19106-4106,526 Delancey St,,Yes,Society Hill,Central,,,,,,1962,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3273
3274,39.93745354,-75.15064647,410 Queen St,Philadelphia,PA,19147-3021,410 Queen St,,Yes,Queen Village,Central,,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/3274
3275,39.94201794,-75.14929968,522 S 04th St,Philadelphia,PA,19147-1540,522 S 04th St,,Yes,Society Hill,Central,,,,,,1963,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3275
3276,39.9480119,-75.14301755,110 Chestnut St,Philadelphia,PA,19106-3009,110 Chestnut St,,Yes,Old City,Central,,,,,,1970,,,Old City,,http://www.preservephiladelphia.org/historic-resources/3276
3277,39.9428236,-75.14448774,114-16 Pine St,Philadelphia,PA,19106-4312,114-16 Pine St,,Yes,Society Hill,Central,,,,,,1967,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3277
3278,39.93673062,-75.14621934,130 Queen St,Philadelphia,PA,19147-3434,130 Queen St,,Yes,Queen Village,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3278
3279,39.94679069,-75.15976152,229 S Jessup St,Philadelphia,PA,19107-5723,229 S Jessup St,,Yes,Washington Square West,Central,,,,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3279
3280,39.94543045,-75.1583713,308 S 10th St,Philadelphia,PA,19107-6012,308 S 10th St,,Yes,Washington Square West,Central,,,,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3280
3281,39.94713046,-75.16024696,238 Quince St,Philadelphia,PA,19107-5741,238 Quince St,,Yes,Washington Square West,Central,,,,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3281
3282,39.96599393,-75.16922982,1908 Wallace St,Philadelphia,PA,19130-3220,1908 Wallace St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3282
3283,39.95014289,-75.21593342,4631 Hazel Ave,Philadelphia,PA,19143-2103,4631 Hazel Ave,,Yes,Cedar Park,University/Southwest,,,,,,1976,,,,,http://www.preservephiladelphia.org/historic-resources/3283
3284,39.94368894,-75.16094547,1129 Rodman St,Philadelphia,PA,19147-1201,1129 Rodman St,,Yes,Washington Square West,Central,,,,,,1963,,,,,http://www.preservephiladelphia.org/historic-resources/3284
3285,39.94533918,-75.15754217,927 Clinton St,Philadelphia,PA,19107-6013,927 Clinton St,,Yes,Washington Square West,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3285
3286,39.94453991,-75.16274131,416 S Iseminger St,Philadelphia,PA,19147-1114,416 S Iseminger St,,Yes,Washington Square West,Central,,,,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3286
3287,39.93816657,-75.15273342,531 Queen St,Philadelphia,PA,19147-3032,531 Queen St,,Yes,Queen Village,Central,,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/3287
3288,39.9383485,-75.14440185,757 S Front St,Philadelphia,PA,19147-3522,757 S Front St,,Yes,Riverfront,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3288
3289,39.98343972,-75.15740101,2002 N Broad St,Philadelphia,PA,19121-2305,Deborah Gay Mansion,,Yes,North Central,Lower North,,,,,,1986,,,,,http://www.preservephiladelphia.org/historic-resources/3289
3290,39.94216899,-75.14828189,321 Gaskill St,Philadelphia,PA,19147-1511,321 Gaskill St,,Yes,Society Hill,Central,,,,,,1963,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3290
3291,39.96164051,-75.13933075,119 Fairmount Ave,Philadelphia,PA,19123-3004,119 Fairmount Ave,,Yes,Northern Liberties,Central,,,,,,1971,,,,,http://www.preservephiladelphia.org/historic-resources/3291
3292,39.94976941,-75.21660444,4650 Hazel Ave,Philadelphia,PA,19143-2104,4650 Hazel Ave,,Yes,Cedar Park,University/Southwest,,,,,,1976,,,,,http://www.preservephiladelphia.org/historic-resources/3292
